#Table1
specobjid,objid,ra,dec,plate,mjd,fiberid,subclass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,snMedian_r,redshift,redshift_err
363700056743766016,1237648702966333596,183.038884714938,-1.17418043426233,323,51615,125,M4,21.29156,18.49923,17.04289,15.61099,14.74951,30.24385,-6.941256E-05,2.738795E-05
363692635040278528,1237648702966333660,183.162424624563,-1.21505639824295,323,51615,98,M1,21.47893,18.61255,17.15262,16.21376,15.66084,36.8704,1.538325E-05,1.028565E-05
363678616267024384,1237648702966530254,183.528349828864,-1.15900330194407,323,51615,47,M1,21.32068,18.71985,17.33548,16.49881,15.98174,33.74847,7.395377E-05,9.944427E-06
363678341389117440,1237648702966530283,183.584014083722,-1.14918235684905,323,51615,46,M1,21.07201,18.39039,16.97011,16.10519,15.5855,39.96966,4.665652E-05,1.100447E-05
363681090168186880,1237648702966595701,183.671737419476,-1.0870992571462,323,51615,56,M1,20.75119,18.22486,16.88721,16.07651,15.62297,41.37467,0.0002683,1.029492E-05
363678891144931328,1237648702966595711,183.704359681168,-1.14127648738537,323,51615,48,M3,21.14861,18.53666,17.1866,16.0596,15.41933,34.6975,5.779525E-05,1.678269E-05
363679715778652160,1237648703503335595,183.450417881762,-0.672969299554684,323,51615,51,M0,21.63468,18.89664,17.51738,16.73755,16.36126,32.36158,5.564209E-05,9.704071E-06
349109818612541440,1237648703521488997,224.903963767808,-0.741757982305905,310,51990,294,M4,22.39346,19.42258,18.11364,16.63247,15.89946,18.03719,-3.843801E-05,1.905754E-05
363712426249578496,1237648704040075335,183.030635130677,-0.291597653681551,323,51615,170,M1,20.90953,18.25991,16.81289,15.95606,15.4954,42.9654,0.000124639,1.259523E-05
363714900150740992,1237648704040075337,183.048811771012,-0.358130878097603,323,51615,179,M0,20.76628,18.24493,16.85422,16.20513,15.80878,43.35787,-2.046807E-05,9.39136E-06
363707478447253504,1237648704040140954,183.31214561275,-0.312119303116617,323,51615,152,M3,20.69023,18.14762,16.85219,15.68088,15.12982,41.37374,6.184242E-05,1.26464E-05
363704729668184064,1237648704040272000,183.473175868827,-0.231030719677521,323,51615,142,M1,20.88812,18.26128,17.02168,16.227,15.8299,39.12164,9.06848E-05,9.552655E-06
