"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","APER_COR_ERR_6_0","APER_COR_6_0_DUAL","APER_COR_3_0","OBSERVATION_DATES","A_CALIB","B_CALIB","C_CALIB"
85282,6,85283,"1000001-JPLUS-00556-v202202_J0378_swp",144.7648,27.6581,1150,20.6417,0.012,9,0.0327,0.0014,0.001,0.0,3,183.81,183.47,1.0,1.595,0.031,1.49165,1.66317,1.50941,2.63465,0.0188389,0.5556,2924139996,"41e3036e8fb4ba29760a2ea9eed4e76c",3231508894,1578561904,20.933657,20.940445,22.002111,20.916042,5.8708153,20.564518,4.6984954,-0.101746,0.00352903,,"[-3.133528972e-01, 8.456727715e-06,-6.545841192e-10, 7.323508573e-06,-2.434175285e-09, 1.412444021e-13,-4.487415483e-10, 1.259255711e-13,-6.115572570e-18]","2019-03-08T23:09:07 2019-03-08T23:10:38 2019-03-08T23:12:05",-3.77e-07,1.8e-06,-0.004735
88565,7,88562,"1000001-JPLUS-01203-v202202_J0395_swp",155.2496,36.0123,1337,20.354,0.0112,9,0.0293,0.0016,0.001,0.0,3,201.81,201.42,1.0,1.154,0.025,1.09842,1.25775,1.14931,2.84209,0.00507235,0.5556,3737637786,"f0e8264ea7fdcff70fe96e5cec02d38f",4287255432,798343606,21.04478,20.755646,21.817312,20.917439,5.7585545,20.541824,5.024843,-0.0907586,0.0036641,,"[-2.064055562e-01, 5.863954290e-06,-3.720697310e-10, 4.358374327e-06,-7.002463093e-10, 4.515012230e-14,-3.018989329e-10, 3.925848534e-14,-1.716246741e-18]","2022-02-03T01:40:11 2022-02-03T01:41:46 2022-02-03T01:43:21",8.06e-07,1.788e-06,-0.011286
87471,2,87481,"1000001-JPLUS-01007-v202202_gSDSS_swp",186.6046,33.2276,7133,23.6988,0.006,9,0.2246,0.0126,0.018,0.01,3,74.01,73.83,1.0,1.432,0.032,1.33901,1.58278,1.44553,2.96538,0.0133085,0.5556,3242920300,"a3c83b0b0210da38fe078491fcca6687",2902389546,375644350,21.94045,21.900291,22.961956,21.952362,5.0950603,21.602863,4.8730993,-0.107761,0.00165915,,"[-2.667752811e-01, 9.332113857e-06,-4.820651117e-10, 7.674999174e-06,-1.960898872e-09, 1.181537774e-13,-5.656229294e-10, 1.178207146e-13,-6.025713354e-18]","2019-03-27T01:41:49 2019-03-27T01:42:41 2019-03-27T01:43:32",3.62e-07,3.72e-07,-0.003376
86377,4,86371,"1000001-JPLUS-00847-v202202_zSDSS_swp",105.8119,31.8352,1582,22.8566,0.0066,9,0.3363,0.0215,0.008,0.03,3,81.69,81.65,1.0,1.03,0.071,0.913356,1.1071,0.960555,3.23536,0.0201795,0.5556,3742311786,"df76d4d28a0154f4b991f5089beb1d6b",3591117530,867218574,21.07192,20.587997,21.649664,20.728283,6.2803345,20.272377,4.3774176,-0.127351,0.0052483,,"[-1.947385163e-01,-8.063728277e-07,-7.714860374e-11, 3.669025147e-06,-1.393183814e-09, 5.861222663e-14,-2.006001205e-10, 9.780443455e-14,-3.582586252e-18]","2020-11-23T02:40:18 2020-11-23T02:41:12 2020-11-23T02:42:06",1.492e-06,1.31e-07,-0.007569
90788,8,90791,"1000001-JPLUS-01576-v202202_J0410_swp",268.0,40.1895,2388,21.4406,0.0075,9,0.0537,0.0028,0.003,0.0,3,120.9,120.84,1.0,1.411,0.04,1.31585,1.49071,1.32476,2.95659,0.0208862,0.5556,2755465228,"c98774bc699975a7c0190e3412db8d9a",2317451390,1892686833,21.320765,21.185879,22.247545,21.191921,6.631992,20.875063,4.7579536,-0.0891471,0.00248538,,"[-2.185151109e-01,-7.089798160e-06, 1.942647318e-10,-1.075955080e-06, 3.583770907e-09,-1.992007838e-13,-7.185948272e-11,-1.097760811e-13, 7.116675439e-18]","2018-06-19T01:04:24 2018-06-19T01:05:33 2018-06-19T01:06:40",-3.27e-07,9.46e-07,-0.002
91894,7,91892,"1000001-JPLUS-01773-v202202_J0395_swp",273.1293,42.9742,3753,20.262,0.0112,9,0.0286,0.0016,0.001,0.0,3,213.39,212.92,1.0,1.092,0.026,1.06299,1.19961,1.11583,4.25147,0.0192205,0.5556,2492739693,"1610420368dd6b0b2b4a6494c4dc85f6",1117730622,3786425286,20.995132,20.6739,21.735565,20.938723,7.315512,20.499207,4.482783,-0.0734899,0.00159108,,"[-1.551229414e-01, 4.744899698e-06,-3.155249861e-10, 3.991063933e-07, 3.646384355e-10, 4.548832662e-15,-3.543919755e-11,-4.462801967e-14, 1.467449378e-18]","2018-09-02T21:51:20 2018-09-02T21:52:59 2018-09-02T21:54:38",-2.321e-06,1.615e-06,0.006844
89694,4,89679,"1000001-JPLUS-01407-v202202_zSDSS_swp",146.507,38.7971,1421,22.8062,0.0066,9,0.303,0.0143,0.013,0.02,3,82.5,82.41,1.0,0.974,0.065,0.922574,1.01926,0.948365,4.3048,0.0137915,0.5556,4264520197,"b1c1b9b4abcc55975acc68af174ba9e9",3195563432,3396130062,21.141998,20.644209,21.705873,20.924599,5.5239472,20.447577,4.035143,-0.103918,0.00274718,,"[-1.494998703e-01,-4.422194398e-06, 1.056611075e-10,-1.881384049e-06, 1.188762146e-09,-5.902687166e-14, 5.458199043e-11,-3.004327546e-14, 2.097612820e-18]","2022-01-30T02:26:38 2022-01-30T02:27:33 2022-01-30T02:28:28",-3.37e-07,9.03e-07,-0.002446
92999,4,92993,"1000001-JPLUS-02048-v202202_zSDSS_swp",273.4626,47.1514,3768,22.6304,0.0066,9,0.2914,0.0163,0.015,0.02,3,79.29,79.21,1.0,1.066,0.03,1.02269,1.10204,1.05156,4.1086,0.0307164,0.5556,2937523062,"11746b7deda315b306f4d064f0444b47",2146813422,3139494618,20.904234,20.51859,21.580257,20.698803,5.8350677,20.27018,4.5085263,-0.103825,0.00213793,,"[-1.629031655e-01, 5.500225498e-06,-2.968404029e-10, 5.425978991e-06,-2.089994501e-09, 8.416452764e-14,-2.778558364e-10, 1.053752789e-13,-4.093943213e-18]","2019-08-05T01:35:55 2019-08-05T01:36:48 2019-08-05T01:37:42",-4.8e-08,9.64e-07,-0.004591
95211,6,95210,"1000001-JPLUS-02516-v202202_J0378_swp",229.2074,55.5056,2843,20.4271,0.012,9,0.0337,0.0019,0.001,0.0,3,187.8,187.54,1.0,1.049,0.03,1.03331,1.14272,1.03738,5.49913,0.0113316,0.5556,1747167949,"8cf53155726b8d7e9f308d7df58573a2",3678654186,4078685335,21.096125,20.69574,21.757406,20.918743,6.215908,20.544443,4.3790116,-0.0635058,0.00211965,,"[-1.460661073e-01, 6.002873935e-06,-4.763322802e-10, 3.455105426e-06,-1.139353227e-09, 9.462627767e-14,-1.170734874e-10, 3.278569768e-14,-2.968382150e-18]","2017-06-27T00:59:44 2017-06-27T01:01:15 2017-06-27T01:02:46",1.607e-06,3.043e-06,-0.024364
96305,11,96301,"1000001-JPLUS-02747-v202202_J0660_swp",284.3908,59.6828,3828,21.1124,0.0062,9,0.0407,0.0023,0.003,0.0,3,203.79,202.88,1.0,1.094,0.029,1.04432,1.0877,1.04438,3.49389,0.0160866,0.5556,4166686216,"fca4f10dc092460d57e198d387f59aab",671492332,4002099322,21.54091,21.14783,22.209494,21.32917,7.320598,20.93343,4.4580975,-0.0880666,0.00193557,,"[-1.689091256e-01, 2.734498357e-06,-1.251310094e-10, 7.194339939e-06,-1.053951868e-09, 1.910037560e-14,-3.516441513e-10, 7.387423619e-14,-1.741117969e-18]","2018-07-17T02:30:17 2018-07-17T02:31:53 2018-07-17T02:33:28",1.426e-06,8.22e-07,-0.010713
